GENE_ID,D6-1_S2_L001_R1_001.fastq.gz,D6-2_S6_L001_R1_001.fastq.gz,D6-3_S10_L001_R1_001.fastq.gz,F7-1_S3_L001_R1_001.fastq.gz,F7-2_S7_L001_R1_001.fastq.gz,F7-3_S11_L001_R1_001.fastq.gz
ENSG00000000003,0,0,0,0,0,0
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,10,3,9,9,10,7
ENSG00000000457,7,12,16,15,7,7
ENSG00000000460,4,0,3,3,5,0
ENSG00000000938,63,58,83,54,73,73
ENSG00000000971,0,0,0,0,0,0
ENSG00000001036,27,16,29,17,9,24
ENSG00000001084,12,6,17,10,7,4
ENSG00000001167,27,20,33,19,21,15
ENSG00000001460,0,6,9,0,7,0
ENSG00000001461,15,21,22,21,18,9
ENSG00000001497,18,13,26,25,20,22
ENSG00000001561,9,19,21,24,23,15
ENSG00000001617,0,0,0,0,0,0
ENSG00000001626,0,0,0,0,3,0
ENSG00000001629,68,67,76,64,40,88
ENSG00000001630,61,7,22,45,10,4
ENSG00000001631,10,14,24,40,24,35
ENSG00000002016,12,0,9,6,6,8
ENSG00000002079,0,0,0,0,0,0
ENSG00000002330,6,9,8,15,0,15
ENSG00000002549,64,57,78,36,63,47
ENSG00000002586,29,5,19,21,17,10
ENSG00000002587,0,3,3,0,0,0
ENSG00000002726,0,0,0,0,0,0
ENSG00000002745,0,0,0,0,0,3
ENSG00000002746,0,0,1,0,0,0
ENSG00000002822,22,21,14,10,21,20
ENSG00000002834,91,70,86,73,53,73
ENSG00000002919,32,32,66,78,74,60
ENSG00000002933,0,0,0,0,0,0
ENSG00000003056,75,65,100,53,57,55
ENSG00000003096,0,0,0,3,0,0
ENSG00000003137,0,0,0,0,0,0
ENSG00000003147,0,0,0,0,0,0
ENSG00000003249,0,0,7,6,3,12
ENSG00000003393,12,3,7,9,13,9
ENSG00000003400,18,9,23,5,15,8
ENSG00000003402,109,111,187,152,190,156
ENSG00000003436,0,0,0,0,0,0
ENSG00000003509,16,11,8,22,12,7
ENSG00000003756,64,82,99,93,60,86
ENSG00000003987,0,0,11,0,0,3
ENSG00000003989,0,0,0,0,0,0
ENSG00000004059,22,18,13,22,21,14
ENSG00000004139,24,20,34,48,34,26
ENSG00000004142,46,25,44,40,43,50
ENSG00000004399,3,5,3,0,3,0
ENSG00000004455,66,65,107,90,89,73
ENSG00000004468,101,56,58,32,46,12
ENSG00000004478,38,30,41,40,59,49
ENSG00000004487,25,29,27,42,25,34
ENSG00000004534,55,46,45,48,34,51
ENSG00000004660,3,2,0,3,5,3
ENSG00000004700,33,17,22,26,25,24
ENSG00000004766,21,11,13,10,17,13
ENSG00000004776,0,0,3,0,0,0
ENSG00000004777,8,8,2,3,9,3
ENSG00000004779,12,11,6,10,11,5
ENSG00000004799,0,0,0,0,0,0
ENSG00000004809,0,0,0,0,0,0
ENSG00000004838,0,0,5,3,0,0
ENSG00000004846,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0
ENSG00000004864,21,13,7,12,8,15
ENSG00000004866,14,20,18,10,16,14
ENSG00000004897,33,33,41,50,39,44
ENSG00000004939,0,0,0,0,0,0
ENSG00000004948,0,0,0,0,0,0
ENSG00000004961,6,0,7,3,0,3
ENSG00000004975,31,29,21,23,13,24
ENSG00000005001,0,0,0,0,0,0
ENSG00000005007,96,70,86,35,71,101
ENSG00000005020,11,3,5,9,15,9
ENSG00000005022,55,47,77,48,72,52
ENSG00000005059,16,11,11,3,5,13
ENSG00000005073,0,0,0,0,0,0
ENSG00000005075,13,0,6,0,3,3
ENSG00000005100,19,20,43,27,24,15
ENSG00000005102,0,0,0,0,0,0
ENSG00000005108,0,0,0,0,0,0
ENSG00000005156,35,26,26,26,37,17
ENSG00000005175,6,9,3,15,0,4
ENSG00000005187,3,3,3,3,0,0
ENSG00000005189,4,0,3,7,1,4
ENSG00000005194,18,8,25,24,23,22
ENSG00000005206,27,7,15,31,27,22
ENSG00000005238,3,3,4,3,0,0
ENSG00000005243,2,0,0,3,5,0
ENSG00000005249,0,0,0,0,0,0
ENSG00000005302,78,51,77,49,31,54
ENSG00000005339,48,50,48,35,38,30
ENSG00000005379,16,11,8,18,8,5
ENSG00000005381,0,0,0,0,0,0
ENSG00000005421,0,0,0,0,0,0
ENSG00000005436,6,10,9,13,8,19
ENSG00000005448,11,8,7,5,6,12
ENSG00000005469,8,8,4,5,3,8
ENSG00000005471,13,9,11,21,14,21
ENSG00000005483,56,67,53,39,35,61
ENSG00000005486,20,13,8,4,10,7
ENSG00000005513,0,0,0,0,0,0
ENSG00000005700,42,46,31,35,35,57
ENSG00000005801,16,7,21,36,17,12
ENSG00000005810,322,342,426,385,316,364
ENSG00000005812,10,19,20,11,19,11
ENSG00000005844,43,41,60,17,27,15
ENSG00000005882,11,0,0,1,5,9
ENSG00000005884,7,6,12,3,3,0
ENSG00000005889,46,37,62,42,30,28
ENSG00000005893,34,43,44,34,37,41
ENSG00000005961,0,0,0,0,0,0
ENSG00000005981,0,0,0,0,0,0
ENSG00000006007,24,18,20,25,9,16
ENSG00000006015,10,12,11,11,17,15
ENSG00000006016,0,1,5,3,0,3
ENSG00000006025,12,8,8,9,4,13
ENSG00000006042,0,0,0,0,0,0
ENSG00000006047,0,0,0,0,0,0
ENSG00000006059,0,0,0,0,0,0
ENSG00000006062,51,29,64,26,25,37
ENSG00000006071,0,0,0,0,0,0
ENSG00000006116,0,0,0,0,0,0
ENSG00000006118,15,10,16,9,11,14
ENSG00000006125,85,87,84,84,93,101
ENSG00000006128,0,0,0,0,0,0
ENSG00000006194,21,24,29,17,21,15
ENSG00000006210,9,9,7,2,0,5
ENSG00000006282,40,23,31,32,24,27
ENSG00000006283,0,0,0,0,0,0
ENSG00000006327,0,0,0,0,0,0
ENSG00000006377,0,0,0,0,0,0
ENSG00000006432,21,4,20,11,11,18
ENSG00000006451,16,25,27,25,19,27
ENSG00000006453,3,5,6,4,16,13
ENSG00000006459,11,5,3,0,0,0
ENSG00000006468,0,0,0,0,0,0
ENSG00000006530,26,4,5,17,22,31
ENSG00000006534,0,0,0,0,0,0
ENSG00000006555,0,7,0,3,0,4
ENSG00000006576,23,26,35,29,16,18
ENSG00000006606,0,0,0,0,0,0
ENSG00000006607,7,10,36,33,17,15
ENSG00000006611,0,0,0,0,0,0
ENSG00000006625,9,6,0,3,9,15
ENSG00000006634,5,7,3,12,13,14
ENSG00000006638,0,0,0,0,0,0
ENSG00000006652,33,15,22,21,35,23
ENSG00000006659,0,3,0,2,0,0
ENSG00000006695,15,21,18,7,8,10
ENSG00000006704,0,5,3,11,5,3
ENSG00000006712,7,0,10,5,3,6
ENSG00000006715,33,45,45,48,41,34
ENSG00000006740,7,6,5,0,7,6
ENSG00000006744,35,25,61,48,41,33
ENSG00000006747,0,0,0,0,0,0
ENSG00000006756,4,4,9,3,9,8
ENSG00000006757,3,5,0,0,0,7
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,32,34,46,28,24,36
ENSG00000006837,1,0,0,0,0,3
ENSG00000007001,0,0,0,0,0,0
ENSG00000007038,0,0,0,0,0,0
ENSG00000007047,13,3,11,21,23,23
ENSG00000007062,0,0,0,0,0,0
ENSG00000007080,13,5,7,10,0,4
ENSG00000007129,4,3,4,4,8,5
ENSG00000007168,96,74,129,73,54,80
ENSG00000007171,0,0,0,0,0,0
ENSG00000007174,0,0,0,0,0,0
ENSG00000007202,115,84,134,113,121,95
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,68,68,79,45,54,47
ENSG00000007255,16,13,10,16,16,27
ENSG00000007264,0,0,0,0,0,0
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,36,25,40,44,31,34
ENSG00000007314,0,2,0,0,5,0
ENSG00000007341,9,3,5,11,5,0
ENSG00000007350,0,0,0,0,0,0
ENSG00000007372,0,0,0,0,0,0
ENSG00000007376,18,18,22,8,13,7
ENSG00000007384,0,0,0,0,2,0
ENSG00000007392,16,17,10,14,23,27
ENSG00000007402,0,0,0,0,0,0
ENSG00000007516,2,1,0,0,0,0
ENSG00000007520,0,11,5,9,6,11
ENSG00000007541,25,14,27,12,16,25
ENSG00000007545,26,11,32,32,29,12
ENSG00000007866,2,2,6,0,4,3
ENSG00000007908,0,0,0,0,0,0
ENSG00000007923,17,8,26,10,9,22
ENSG00000007933,0,0,0,0,0,0
ENSG00000007944,20,11,21,24,19,13
ENSG00000007952,0,0,0,0,0,0
ENSG00000007968,4,0,0,0,0,3
ENSG00000008018,43,45,30,34,25,31
ENSG00000008056,0,0,0,3,0,0
ENSG00000008083,54,44,54,27,22,34
ENSG00000008086,0,6,7,13,23,3
ENSG00000008118,0,0,2,0,0,0
ENSG00000008128,12,13,16,14,5,9
ENSG00000008130,50,40,63,54,59,64
ENSG00000008196,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,2,1,0,5,2,0
ENSG00000008256,21,29,38,16,19,32
ENSG00000008277,18,6,14,12,15,10
ENSG00000008282,13,7,19,27,23,17
ENSG00000008283,10,7,14,3,11,16
ENSG00000008294,62,63,56,42,46,58
ENSG00000008300,9,3,3,10,0,2
ENSG00000008311,0,0,0,0,2,0
ENSG00000008323,0,0,0,5,0,2
ENSG00000008324,15,13,24,14,23,11
ENSG00000008382,17,3,8,3,4,0
ENSG00000008394,5,7,4,5,27,24
ENSG00000008405,8,3,3,16,5,0
ENSG00000008438,0,0,0,0,0,0
ENSG00000008441,2,2,0,3,0,3
ENSG00000008513,10,13,17,4,14,6
ENSG00000008516,0,2,3,0,0,0
ENSG00000008517,11,4,17,9,5,11
ENSG00000008710,109,70,102,107,99,94
ENSG00000008735,0,5,0,0,0,0
ENSG00000008838,26,30,30,31,22,30
ENSG00000008853,34,20,9,16,25,22
ENSG00000008869,7,31,18,34,21,19
ENSG00000008952,60,49,76,16,36,16
ENSG00000008988,210,201,273,241,247,217
ENSG00000009307,225,236,230,225,196,197
ENSG00000009335,68,61,76,46,49,40
ENSG00000009413,60,41,58,55,41,72
ENSG00000009694,0,0,0,0,0,0
ENSG00000009709,0,0,0,0,0,0
ENSG00000009724,0,7,0,7,7,7
ENSG00000009765,0,0,0,0,0,0
ENSG00000009780,5,0,9,3,0,5
ENSG00000009790,19,13,27,19,17,15
ENSG00000009830,9,8,9,0,0,6
ENSG00000009844,11,7,11,9,14,21
ENSG00000009950,0,0,0,0,2,0
ENSG00000009954,90,61,71,81,42,82
ENSG00000010017,38,28,38,35,28,31
ENSG00000010030,10,0,10,0,3,3
ENSG00000010072,11,0,6,10,0,0
ENSG00000010165,16,11,18,24,28,19
ENSG00000010219,5,0,0,3,2,7
ENSG00000010244,134,80,109,162,144,123
ENSG00000010256,46,31,48,39,41,33
ENSG00000010270,19,7,15,29,15,16
ENSG00000010278,0,0,0,0,0,0
ENSG00000010282,0,0,0,0,0,0
ENSG00000010292,75,43,64,40,48,54
ENSG00000010295,19,23,31,23,19,22
ENSG00000010310,12,3,16,15,6,8
ENSG00000010318,0,3,3,4,0,0
ENSG00000010319,0,0,0,0,0,0
ENSG00000010322,31,39,47,29,41,39
ENSG00000010327,0,0,0,0,0,0
ENSG00000010361,0,3,5,3,6,7
ENSG00000010379,0,0,0,3,0,0
ENSG00000010404,99,103,93,108,74,85
ENSG00000010438,0,0,0,0,0,0
ENSG00000010539,6,3,3,2,6,19
ENSG00000010610,0,0,0,0,0,0
ENSG00000010626,4,5,4,0,3,2
ENSG00000010671,43,53,66,49,46,40
ENSG00000010704,0,3,5,0,4,0
ENSG00000010803,13,17,23,7,17,19
ENSG00000010810,47,27,33,18,20,15
ENSG00000010818,38,50,42,55,69,60
ENSG00000010932,0,0,0,0,0,0
ENSG00000011007,20,28,44,19,25,18
ENSG00000011009,19,6,25,13,18,16
ENSG00000011021,19,17,36,44,14,26
ENSG00000011028,9,5,6,0,0,3
ENSG00000011052,0,12,0,11,8,0
ENSG00000011083,0,0,0,0,0,0
ENSG00000011105,0,0,0,1,0,0
ENSG00000011114,56,16,58,37,19,31
ENSG00000011132,30,15,24,28,39,17
ENSG00000011143,3,15,0,5,4,9
ENSG00000011198,3,9,7,4,3,7
ENSG00000011201,0,0,0,0,0,0
ENSG00000011243,26,31,40,22,21,16
ENSG00000011258,18,8,22,24,23,10
ENSG00000011260,15,19,14,23,17,18
ENSG00000011275,52,31,33,49,41,49
ENSG00000011295,26,21,22,23,16,25
ENSG00000011304,126,66,95,82,67,105
ENSG00000011332,0,2,0,0,0,0
ENSG00000011347,0,0,0,0,0,0
ENSG00000011376,16,16,12,19,16,15
ENSG00000011405,36,37,68,36,29,37
ENSG00000011422,0,0,0,0,0,0
ENSG00000011426,0,0,0,0,4,0
ENSG00000011451,22,19,24,18,22,20
ENSG00000011454,31,38,55,31,30,35
ENSG00000011465,0,0,0,0,0,0
ENSG00000011478,8,6,16,13,2,23
ENSG00000011485,24,16,22,18,10,21
ENSG00000011523,27,27,27,25,18,16
